arm;-1;2024-05-12 14:36:30;LINUX-RESTART	(6 CPU)
# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty;kbanonpg;kbslab;kbkstack;kbpgtbl;kbvmused
arm;10;2024-05-12 15:00:03;1433564;2932736;629344;15.96;48660;1695408;3527800;89.45;548564;1518660;488;533560;136992;7680;15208;31788
arm;10;2024-05-12 15:00:13;1396164;2904904;657280;16.67;50284;1702788;3560148;90.27;550868;1550604;1512;558856;137452;7792;15440;31796
arm;10;2024-05-12 15:00:23;1377888;2908120;653928;16.58;51572;1720728;3548488;89.97;552444;1565900;2308;556416;139852;7712;15244;31732
arm;10;2024-05-12 15:00:33;1366836;2914236;647712;16.42;53120;1735940;3549056;89.99;555056;1582972;972;558064;140360;7728;15252;31748
arm;10;2024-05-12 15:00:43;1209428;2847140;714380;18.11;53860;1823040;3615408;91.67;558292;1698376;2076;588924;143260;7936;15764;31900
arm;10;2024-05-12 15:00:53;1210248;2876948;684496;17.36;54208;1850872;3594668;91.14;558748;1709100;1652;569988;144144;7872;15468;31852
arm;10;2024-05-12 15:01:03;1228284;2901724;659796;16.73;55392;1855784;3549136;89.99;560028;1705748;1096;559660;144712;7760;15252;31796
arm;10;2024-05-12 15:01:13;1228984;2912668;648848;16.45;56992;1864076;3549000;89.99;562060;1707280;1612;513364;145068;7760;15244;31812
arm;10;2024-05-12 15:01:24;1221440;2913024;648628;16.45;58912;1869492;3549000;89.99;563216;1713620;2252;513356;145496;7744;15160;31780
arm;10;2024-05-12 15:01:34;1191660;2904008;657312;16.67;59580;1888568;3549000;89.99;559204;1737292;452;513432;146848;7752;15352;31796
arm;10;2024-05-12 15:01:44;1182112;2898712;662584;16.80;61216;1890484;3549256;89.99;561092;1739128;2600;513500;147572;7760;15324;31748
arm;10;2024-05-12 15:01:54;1158180;2898976;662188;16.79;62076;1910240;3560788;90.28;562012;1761184;3376;515856;151284;7792;15396;31780
arm;10;2024-05-12 15:02:04;1130636;2893608;667364;16.92;63600;1926384;3560960;90.29;563728;1783544;5632;522220;155984;7776;15384;31796
arm;10;2024-05-12 15:02:14;1110360;2894560;666132;16.89;64344;1945608;3560972;90.29;564492;1802904;548;522464;157524;7792;15396;31796
